anio,prov_id,prov_nombre,sexo,grupo_edad,proyeccion
2010,62,Río Negro,Mujer,30 a 34,25138
2010,62,Río Negro,Mujer,35 a 39,25590
2010,62,Río Negro,Mujer,40 a 44,22681
2010,62,Río Negro,Mujer,45 a 49,19952
2010,62,Río Negro,Mujer,50 a 54,18768
2010,62,Río Negro,Mujer,55 a 59,16863
2010,62,Río Negro,Mujer,60 a 64,14820
2010,62,Río Negro,Mujer,65 a 69,12516
2010,62,Río Negro,Mujer,70 a 74,9783
2010,62,Río Negro,Mujer,75 a 79,7441
2010,62,Río Negro,Mujer,80+,5708
2010,62,Río Negro,Varón,20 a 24,4361
2010,62,Río Negro,Varón,25 a 29,26465
2010,62,Río Negro,Varón,30 a 34,25193
2010,62,Río Negro,Varón,35 a 39,24917
2010,62,Río Negro,Varón,40 a 44,22159
2010,62,Río Negro,Varón,45 a 49,19326
2010,62,Río Negro,Varón,50 a 54,18110
2010,62,Río Negro,Varón,55 a 59,16395
2010,62,Río Negro,Varón,60 a 64,14518
2010,62,Río Negro,Varón,65 a 69,12167
2010,62,Río Negro,Varón,70 a 74,9159
2010,62,Río Negro,Varón,75 a 79,6554
2010,62,Río Negro,Varón,80+,4502
2010,66,Salta,Mujer,20 a 24,10795
2010,66,Salta,Mujer,25 a 29,52827
2010,66,Salta,Mujer,30 a 34,48278
2010,66,Salta,Mujer,35 a 39,46497
2010,66,Salta,Mujer,40 a 44,39959
2010,66,Salta,Mujer,45 a 49,33619
2010,66,Salta,Mujer,50 a 54,30202
2010,66,Salta,Mujer,55 a 59,27088
2010,66,Salta,Mujer,60 a 64,24053
2010,66,Salta,Mujer,65 a 69,19909
2010,66,Salta,Mujer,70 a 74,15434
2010,66,Salta,Mujer,75 a 79,11980
2010,66,Salta,Mujer,80+,9155
2010,66,Salta,Varón,20 a 24,6793
2010,66,Salta,Varón,25 a 29,52103
2010,66,Salta,Varón,30 a 34,46417
2010,66,Salta,Varón,35 a 39,44096
2010,66,Salta,Varón,40 a 44,37727
2010,66,Salta,Varón,45 a 49,32052
2010,66,Salta,Varón,50 a 54,29026
2010,66,Salta,Varón,55 a 59,25723
2010,66,Salta,Varón,60 a 64,22580
2010,66,Salta,Varón,65 a 69,18287
2010,66,Salta,Varón,70 a 74,14016
2010,66,Salta,Varón,75 a 79,10462
2010,66,Salta,Varón,80+,7382
2010,70,San Juan,Mujer,20 a 24,7860
2010,70,San Juan,Mujer,25 a 29,27803
2010,70,San Juan,Mujer,30 a 34,26169
2010,70,San Juan,Mujer,35 a 39,25612
2010,70,San Juan,Mujer,40 a 44,23094
2010,70,San Juan,Mujer,45 a 49,19546
2010,70,San Juan,Mujer,50 a 54,18185
2010,70,San Juan,Mujer,55 a 59,17291
2010,70,San Juan,Mujer,60 a 64,16329
2010,70,San Juan,Mujer,65 a 69,14407
2010,70,San Juan,Mujer,70 a 74,11545
2010,70,San Juan,Mujer,75 a 79,8699
2010,70,San Juan,Mujer,80+,6691
2010,70,San Juan,Varón,20 a 24,4512
2010,70,San Juan,Varón,25 a 29,28599
2010,70,San Juan,Varón,30 a 34,26426
2010,70,San Juan,Varón,35 a 39,25663
2010,70,San Juan,Varón,40 a 44,22494
2010,70,San Juan,Varón,45 a 49,18564
2010,70,San Juan,Varón,50 a 54,16890
2010,70,San Juan,Varón,55 a 59,15530
2010,70,San Juan,Varón,60 a 64,14534
2010,70,San Juan,Varón,65 a 69,12586
2010,70,San Juan,Varón,70 a 74,9676
2010,70,San Juan,Varón,75 a 79,6710
2010,70,San Juan,Varón,80+,4800
2010,74,San Luis,Mujer,20 a 24,5366
2010,74,San Luis,Mujer,25 a 29,17510
2010,74,San Luis,Mujer,30 a 34,16955
2010,74,San Luis,Mujer,35 a 39,17206
2010,74,San Luis,Mujer,40 a 44,14823
2010,74,San Luis,Mujer,45 a 49,12867
2010,74,San Luis,Mujer,50 a 54,11996
2010,74,San Luis,Mujer,55 a 59,10991
2010,74,San Luis,Mujer,60 a 64,9999
2010,74,San Luis,Mujer,65 a 69,8686
2010,74,San Luis,Mujer,70 a 74,7089
2010,74,San Luis,Mujer,75 a 79,5361
2010,74,San Luis,Mujer,80+,4146
2010,74,San Luis,Varón,20 a 24,2829
2010,74,San Luis,Varón,25 a 29,17490
2010,74,San Luis,Varón,30 a 34,16581
2010,74,San Luis,Varón,35 a 39,16967
2010,74,San Luis,Varón,40 a 44,14825
2010,74,San Luis,Varón,45 a 49,12993
2010,74,San Luis,Varón,50 a 54,11983
2010,74,San Luis,Varón,55 a 59,10792
2010,74,San Luis,Varón,60 a 64,9720
2010,74,San Luis,Varón,65 a 69,8248
2010,74,San Luis,Varón,70 a 74,6342
2010,74,San Luis,Varón,75 a 79,4428
2010,74,San Luis,Varón,80+,3125
2010,78,Santa Cruz,Mujer,20 a 24,1495
2010,78,Santa Cruz,Mujer,25 a 29,11255
2010,78,Santa Cruz,Mujer,30 a 34,11885
2010,78,Santa Cruz,Mujer,35 a 39,11848
2010,78,Santa Cruz,Mujer,40 a 44,9799
2010,78,Santa Cruz,Mujer,45 a 49,8053
2010,78,Santa Cruz,Mujer,50 a 54,7244
2010,78,Santa Cruz,Mujer,55 a 59,6095
2010,78,Santa Cruz,Mujer,60 a 64,4900
2010,78,Santa Cruz,Mujer,65 a 69,3756
2010,78,Santa Cruz,Mujer,70 a 74,2844
2010,78,Santa Cruz,Mujer,75 a 79,2049
2010,78,Santa Cruz,Mujer,80+,1463
2010,78,Santa Cruz,Varón,20 a 24,984
2010,78,Santa Cruz,Varón,25 a 29,12416
2010,78,Santa Cruz,Varón,30 a 34,13062
2010,78,Santa Cruz,Varón,35 a 39,12985
2010,78,Santa Cruz,Varón,40 a 44,10603
2010,78,Santa Cruz,Varón,45 a 49,8657
2010,78,Santa Cruz,Varón,50 a 54,7945
2010,78,Santa Cruz,Varón,55 a 59,6795
2010,78,Santa Cruz,Varón,60 a 64,5336
2010,78,Santa Cruz,Varón,65 a 69,3829
2010,78,Santa Cruz,Varón,70 a 74,2629
2010,78,Santa Cruz,Varón,75 a 79,1870
2010,78,Santa Cruz,Varón,80+,1191
2010,82,Santa Fe,Mujer,20 a 24,67309
2010,82,Santa Fe,Mujer,25 a 29,135228
2010,82,Santa Fe,Mujer,30 a 34,131404
2010,82,Santa Fe,Mujer,35 a 39,127131
2010,82,Santa Fe,Mujer,40 a 44,106784
2010,82,Santa Fe,Mujer,45 a 49,94373
2010,82,Santa Fe,Mujer,50 a 54,92785
2010,82,Santa Fe,Mujer,55 a 59,88072
2010,82,Santa Fe,Mujer,60 a 64,82277
2010,82,Santa Fe,Mujer,65 a 69,74102
2010,82,Santa Fe,Mujer,70 a 74,62846
2010,82,Santa Fe,Mujer,75 a 79,54369
2010,82,Santa Fe,Mujer,80+,46489
2010,82,Santa Fe,Varón,20 a 24,30934
2010,82,Santa Fe,Varón,25 a 29,135868
2010,82,Santa Fe,Varón,30 a 34,131552
2010,82,Santa Fe,Varón,35 a 39,125448
2010,82,Santa Fe,Varón,40 a 44,104200
2010,82,Santa Fe,Varón,45 a 49,91312
2010,82,Santa Fe,Varón,50 a 54,88330
2010,82,Santa Fe,Varón,55 a 59,82833
2010,82,Santa Fe,Varón,60 a 64,75919
2010,82,Santa Fe,Varón,65 a 69,64976
2010,82,Santa Fe,Varón,70 a 74,51678
2010,82,Santa Fe,Varón,75 a 79,40250
2010,82,Santa Fe,Varón,80+,29661
2010,86,Santiago del Estero,Mujer,20 a 24,9462
2010,86,Santiago del Estero,Mujer,25 a 29,36039
2010,86,Santiago del Estero,Mujer,30 a 34,33652
2010,86,Santiago del Estero,Mujer,35 a 39,32713
2010,86,Santiago del Estero,Mujer,40 a 44,27236
2010,86,Santiago del Estero,Mujer,45 a 49,22255
2010,86,Santiago del Estero,Mujer,50 a 54,20371
2010,86,Santiago del Estero,Mujer,55 a 59,19147
2010,86,Santiago del Estero,Mujer,60 a 64,17131
2010,86,Santiago del Estero,Mujer,65 a 69,14221
2010,86,Santiago del Estero,Mujer,70 a 74,11560
2010,86,Santiago del Estero,Mujer,75 a 79,9447
2010,86,Santiago del Estero,Mujer,80+,7322
2010,86,Santiago del Estero,Varón,20 a 24,5468
2010,86,Santiago del Estero,Varón,25 a 29,35768
2010,86,Santiago del Estero,Varón,30 a 34,32587
2010,86,Santiago del Estero,Varón,35 a 39,31550
2010,86,Santiago del Estero,Varón,40 a 44,26810
2010,86,Santiago del Estero,Varón,45 a 49,22630
2010,86,Santiago del Estero,Varón,50 a 54,20669
2010,86,Santiago del Estero,Varón,55 a 59,19275
2010,86,Santiago del Estero,Varón,60 a 64,17632
2010,86,Santiago del Estero,Varón,65 a 69,14217
2010,86,Santiago del Estero,Varón,70 a 74,10823
2010,86,Santiago del Estero,Varón,75 a 79,8010
