anio_enfr,prov_nombre,grupo_edad_10,sexo,defun_tri,defun_mean_tri,esp_vida,AVP
2018,Tucumán,30 a 39,Mujer,6,2,43.00255580888662,86.00511161777324
2018,Tucumán,30 a 39,Varón,11,3.67,48.31021760118011,177.298498596331
2018,Tucumán,40 a 49,Mujer,20,6.67,33.73444144969978,225.00872446949754
2018,Tucumán,40 a 49,Varón,24,8,38.79985592938144,310.3988474350515
2018,Tucumán,50 a 59,Mujer,47,15.67,24.912328939637863,390.37619448412534
2018,Tucumán,50 a 59,Varón,70,23.33,29.629262971095834,691.2507051156657
2018,Tucumán,60 a 69,Mujer,140,46.67,17.132067211169673,799.5535767452886
2018,Tucumán,60 a 69,Varón,168,56,21.107751084002853,1182.0340607041599
2018,Tucumán,70 a 79,Mujer,148,49.33,10.831570240779218,534.3213599776388
2018,Tucumán,70 a 79,Varón,183,61,13.564680967142696,827.4455389957044
2018,Tucumán,80+,Mujer,151,50.33,5.992080760900239,301.581424696109
2018,Tucumán,80+,Varón,120,40,7.2709457701241185,290.8378308049647
