anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,34,Formosa,20 a 24,20 a 29,Varón,23192
2005,2005,34,Formosa,20 a 24,20 a 29,Mujer,22376
2005,2005,34,Formosa,25 a 29,20 a 29,Varón,18988
2005,2005,34,Formosa,25 a 29,20 a 29,Mujer,19041
2005,2005,34,Formosa,30 a 34,30 a 39,Varón,15281
2005,2005,34,Formosa,30 a 34,30 a 39,Mujer,16061
2005,2005,34,Formosa,35 a 39,30 a 39,Varón,14597
2005,2005,34,Formosa,35 a 39,30 a 39,Mujer,14912
2005,2005,34,Formosa,40 a 44,40 a 49,Varón,14738
2005,2005,34,Formosa,40 a 44,40 a 49,Mujer,14354
2005,2005,34,Formosa,45 a 49,40 a 49,Varón,12870
2005,2005,34,Formosa,45 a 49,40 a 49,Mujer,12859
2005,2005,34,Formosa,50 a 54,50 a 59,Varón,11411
2005,2005,34,Formosa,50 a 54,50 a 59,Mujer,10889
2005,2005,34,Formosa,55 a 59,50 a 59,Varón,8861
2005,2005,34,Formosa,55 a 59,50 a 59,Mujer,8406
2005,2005,34,Formosa,60 a 64,60 a 69,Varón,6824
2005,2005,34,Formosa,60 a 64,60 a 69,Mujer,6590
2005,2005,34,Formosa,65 a 69,60 a 69,Varón,5646
2005,2005,34,Formosa,65 a 69,60 a 69,Mujer,5710
2005,2005,34,Formosa,70 a 74,70 a 79,Varón,4017
2005,2005,34,Formosa,70 a 74,70 a 79,Mujer,4357
2005,2005,34,Formosa,75 a 79,70 a 79,Varón,2761
2005,2005,34,Formosa,75 a 79,70 a 79,Mujer,3068
2005,2005,34,Formosa,80+,80+,Varón,2076
2005,2005,34,Formosa,80+,80+,Mujer,2635
2005,2005,38,Jujuy,20 a 24,20 a 29,Varón,30479
2005,2005,38,Jujuy,20 a 24,20 a 29,Mujer,30045
2005,2005,38,Jujuy,25 a 29,20 a 29,Varón,27383
2005,2005,38,Jujuy,25 a 29,20 a 29,Mujer,27556
2005,2005,38,Jujuy,30 a 34,30 a 39,Varón,22229
2005,2005,38,Jujuy,30 a 34,30 a 39,Mujer,22707
2005,2005,38,Jujuy,35 a 39,30 a 39,Varón,18976
2005,2005,38,Jujuy,35 a 39,30 a 39,Mujer,19174
2005,2005,38,Jujuy,40 a 44,40 a 49,Varón,16910
2005,2005,38,Jujuy,40 a 44,40 a 49,Mujer,18029
2005,2005,38,Jujuy,45 a 49,40 a 49,Varón,14840
2005,2005,38,Jujuy,45 a 49,40 a 49,Mujer,16403
2005,2005,38,Jujuy,50 a 54,50 a 59,Varón,13732
2005,2005,38,Jujuy,50 a 54,50 a 59,Mujer,14726
2005,2005,38,Jujuy,55 a 59,50 a 59,Varón,11175
2005,2005,38,Jujuy,55 a 59,50 a 59,Mujer,11940
2005,2005,38,Jujuy,60 a 64,60 a 69,Varón,8994
2005,2005,38,Jujuy,60 a 64,60 a 69,Mujer,9725
2005,2005,38,Jujuy,65 a 69,60 a 69,Varón,7351
2005,2005,38,Jujuy,65 a 69,60 a 69,Mujer,8021
2005,2005,38,Jujuy,70 a 74,70 a 79,Varón,5345
2005,2005,38,Jujuy,70 a 74,70 a 79,Mujer,6342
2005,2005,38,Jujuy,75 a 79,70 a 79,Varón,3707
2005,2005,38,Jujuy,75 a 79,70 a 79,Mujer,4527
2005,2005,38,Jujuy,80+,80+,Varón,2679
2005,2005,38,Jujuy,80+,80+,Mujer,4110
2005,2005,42,La Pampa,20 a 24,20 a 29,Varón,13229
2005,2005,42,La Pampa,20 a 24,20 a 29,Mujer,12695
2005,2005,42,La Pampa,25 a 29,20 a 29,Varón,12489
2005,2005,42,La Pampa,25 a 29,20 a 29,Mujer,11627
2005,2005,42,La Pampa,30 a 34,30 a 39,Varón,11281
2005,2005,42,La Pampa,30 a 34,30 a 39,Mujer,10905
2005,2005,42,La Pampa,35 a 39,30 a 39,Varón,10270
2005,2005,42,La Pampa,35 a 39,30 a 39,Mujer,10128
2005,2005,42,La Pampa,40 a 44,40 a 49,Varón,10196
2005,2005,42,La Pampa,40 a 44,40 a 49,Mujer,9942
2005,2005,42,La Pampa,45 a 49,40 a 49,Varón,9206
2005,2005,42,La Pampa,45 a 49,40 a 49,Mujer,8966
2005,2005,42,La Pampa,50 a 54,50 a 59,Varón,8806
2005,2005,42,La Pampa,50 a 54,50 a 59,Mujer,8510
2005,2005,42,La Pampa,55 a 59,50 a 59,Varón,7486
2005,2005,42,La Pampa,55 a 59,50 a 59,Mujer,7505
2005,2005,42,La Pampa,60 a 64,60 a 69,Varón,6650
2005,2005,42,La Pampa,60 a 64,60 a 69,Mujer,6615
2005,2005,42,La Pampa,65 a 69,60 a 69,Varón,5218
2005,2005,42,La Pampa,65 a 69,60 a 69,Mujer,5677
2005,2005,42,La Pampa,70 a 74,70 a 79,Varón,4047
2005,2005,42,La Pampa,70 a 74,70 a 79,Mujer,4774
2005,2005,42,La Pampa,75 a 79,70 a 79,Varón,2731
2005,2005,42,La Pampa,75 a 79,70 a 79,Mujer,3880
2005,2005,42,La Pampa,80+,80+,Varón,2310
2005,2005,42,La Pampa,80+,80+,Mujer,4440
2005,2005,46,La Rioja,20 a 24,20 a 29,Varón,14468
2005,2005,46,La Rioja,20 a 24,20 a 29,Mujer,13977
2005,2005,46,La Rioja,25 a 29,20 a 29,Varón,14945
2005,2005,46,La Rioja,25 a 29,20 a 29,Mujer,14598
2005,2005,46,La Rioja,30 a 34,30 a 39,Varón,11717
2005,2005,46,La Rioja,30 a 34,30 a 39,Mujer,11380
2005,2005,46,La Rioja,35 a 39,30 a 39,Varón,10100
2005,2005,46,La Rioja,35 a 39,30 a 39,Mujer,9718
2005,2005,46,La Rioja,40 a 44,40 a 49,Varón,9376
2005,2005,46,La Rioja,40 a 44,40 a 49,Mujer,9128
2005,2005,46,La Rioja,45 a 49,40 a 49,Varón,8208
2005,2005,46,La Rioja,45 a 49,40 a 49,Mujer,8051
2005,2005,46,La Rioja,50 a 54,50 a 59,Varón,7374
2005,2005,46,La Rioja,50 a 54,50 a 59,Mujer,7081
2005,2005,46,La Rioja,55 a 59,50 a 59,Varón,5853
2005,2005,46,La Rioja,55 a 59,50 a 59,Mujer,5749
