anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,2,CABA,60-64,Varón,9408,4191.49,0.45,0.16,0.07,0.41,Muy alta
2018,2,CABA,65-69,Mujer,8670,3338.81,0.39,0.1,0.04,0.37,Muy alta
2018,2,CABA,65-69,Varón,23653,5987.11,0.25,0.33,0.08,0.24,Alta
2018,2,CABA,70-74,Mujer,5893,2974.09,0.5,0.07,0.03,0.46,Muy alta
2018,2,CABA,70-74,Varón,9597,4008.6,0.42,0.16,0.06,0.37,Muy alta
2018,2,CABA,75-79,Mujer,4665,2093.11,0.45,0.1,0.05,0.45,Muy alta
2018,2,CABA,75-79,Varón,10046,4423.78,0.44,0.29,0.1,0.36,Muy alta
2018,2,CABA,80+,Mujer,19045,5655.59,0.3,0.26,0.07,0.27,Alta
2018,2,CABA,80+,Varón,9425,3353.22,0.36,0.25,0.09,0.35,Muy alta
2018,6,Buenos Aires,35-39,Mujer,103079,23002.82,0.22,0.18,0.03,0.2,Moderada
2018,6,Buenos Aires,35-39,Varón,24371,9605.67,0.39,0.05,0.02,0.4,Muy alta
2018,6,Buenos Aires,40-44,Mujer,84386,20982.01,0.25,0.16,0.04,0.23,Alta
2018,6,Buenos Aires,40-44,Varón,38189,11718.49,0.31,0.08,0.02,0.29,Alta
2018,6,Buenos Aires,45-49,Mujer,89148,20013.71,0.22,0.14,0.03,0.21,Alta
2018,6,Buenos Aires,45-49,Varón,117301,27968.88,0.24,0.21,0.05,0.22,Alta
2018,6,Buenos Aires,50-54,Mujer,59085,14393.42,0.24,0.12,0.03,0.22,Alta
2018,6,Buenos Aires,50-54,Varón,59469,15719.92,0.26,0.16,0.04,0.24,Alta
2018,6,Buenos Aires,55-59,Mujer,63813,15509.61,0.24,0.19,0.04,0.22,Alta
2018,6,Buenos Aires,55-59,Varón,111691,23106.84,0.21,0.26,0.05,0.18,Moderada
2018,6,Buenos Aires,60-64,Mujer,59485,15463.98,0.26,0.17,0.04,0.22,Alta
