anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,46,La Rioja,Femenino,35 a 39,0
2005,46,La Rioja,Femenino,40 a 44,1
2005,46,La Rioja,Femenino,45 a 49,1
2005,46,La Rioja,Femenino,50 a 54,3
2005,46,La Rioja,Femenino,55 a 59,2
2005,46,La Rioja,Femenino,60 a 64,2
2005,46,La Rioja,Femenino,65 a 69,7
2005,46,La Rioja,Femenino,70 a 74,5
2005,46,La Rioja,Femenino,75 a 79,6
2005,46,La Rioja,Femenino,80 y más,8
2005,50,Mendoza,Masculino,10 a 14,0
2005,50,Mendoza,Masculino,15 a 19,0
2005,50,Mendoza,Masculino,20 a 24,0
2005,50,Mendoza,Masculino,25 a 29,1
2005,50,Mendoza,Masculino,30 a 34,1
2005,50,Mendoza,Masculino,35 a 39,1
2005,50,Mendoza,Masculino,40 a 44,1
2005,50,Mendoza,Masculino,45 a 49,12
2005,50,Mendoza,Masculino,50 a 54,9
2005,50,Mendoza,Masculino,55 a 59,37
2005,50,Mendoza,Masculino,60 a 64,52
2005,50,Mendoza,Masculino,65 a 69,66
2005,50,Mendoza,Masculino,70 a 74,67
2005,50,Mendoza,Masculino,75 a 79,48
2005,50,Mendoza,Masculino,80 y más,54
2005,50,Mendoza,Femenino,10 a 14,0
2005,50,Mendoza,Femenino,15 a 19,0
2005,50,Mendoza,Femenino,20 a 24,0
2005,50,Mendoza,Femenino,25 a 29,0
2005,50,Mendoza,Femenino,30 a 34,2
2005,50,Mendoza,Femenino,35 a 39,0
2005,50,Mendoza,Femenino,40 a 44,5
2005,50,Mendoza,Femenino,45 a 49,4
2005,50,Mendoza,Femenino,50 a 54,10
2005,50,Mendoza,Femenino,55 a 59,16
2005,50,Mendoza,Femenino,60 a 64,27
2005,50,Mendoza,Femenino,65 a 69,47
2005,50,Mendoza,Femenino,70 a 74,68
2005,50,Mendoza,Femenino,75 a 79,40
2005,50,Mendoza,Femenino,80 y más,86
2005,54,Misiones,Masculino,10 a 14,0
2005,54,Misiones,Masculino,15 a 19,1
