anio_enfr,prov_nombre,grupo_edad_10,sexo,prev_dm,prev_dm_cv
2009,Tierra del Fuego,50 a 59,Varón,0.15585412667946258,0.3512926665957802
2009,Tierra del Fuego,50 a 59,Mujer,0.1874008251348778,0.28372410959273064
2009,Tierra del Fuego,60 a 69,Varón,0.559449866903283,0.17610180171886505
2009,Tierra del Fuego,60 a 69,Mujer,0.0334777471445451,0.5987025188340032
2009,Tierra del Fuego,70 a 79,Varón,0.34385964912280703,0.37325565376967296
2009,Tierra del Fuego,70 a 79,Mujer,0.2429268292682927,0.590566102432667
2009,Tierra del Fuego,80+,Varón,0,NA
2009,Tierra del Fuego,80+,Mujer,0.24324324324324326,0.6584286622171989
2009,Tucumán,20 a 29,Varón,0.060737741346106364,0.3680973870685479
2009,Tucumán,20 a 29,Mujer,0.08320212148835668,0.287097383612317
2009,Tucumán,30 a 39,Varón,0.04978072161347495,0.5317180692985033
2009,Tucumán,30 a 39,Mujer,0.07853153521318622,0.2645303476152737
2009,Tucumán,40 a 49,Varón,0.055257688747620465,0.4140689443624764
2009,Tucumán,40 a 49,Mujer,0.08620304281094936,0.31790767335758013
2009,Tucumán,50 a 59,Varón,0.16575663881762165,0.31027782434113454
2009,Tucumán,50 a 59,Mujer,0.12594171474771232,0.28795711380985434
2009,Tucumán,60 a 69,Varón,0.17224252406196922,0.30351656690529066
2009,Tucumán,60 a 69,Mujer,0.2702443480246632,0.20761230930477995
2009,Tucumán,70 a 79,Varón,0.07603792088917946,0.7832270399763878
2009,Tucumán,70 a 79,Mujer,0.13579875726598517,0.38350007721723484
2009,Tucumán,80+,Varón,0.35377358490566035,0.4795273320291872
2009,Tucumán,80+,Mujer,0.22224754957829954,0.4115435263247478
2013,Buenos Aires,20 a 29,Varón,0.048028628101474326,0.3747115911868495
2013,Buenos Aires,20 a 29,Mujer,0.02474822635730252,0.3944770574638945
2013,Buenos Aires,30 a 39,Varón,0.05058071406321848,0.26014854882190525
2013,Buenos Aires,30 a 39,Mujer,0.08109480467576523,0.20120893871005854
2013,Buenos Aires,40 a 49,Varón,0.09323920080366112,0.23498720988382502
2013,Buenos Aires,40 a 49,Mujer,0.09454306683838751,0.20969998757192154
2013,Buenos Aires,50 a 59,Varón,0.13677740692192902,0.19938689315860458
2013,Buenos Aires,50 a 59,Mujer,0.1583462530945176,0.18559783224688498
2013,Buenos Aires,60 a 69,Varón,0.19491015919700358,0.16706511262632276
2013,Buenos Aires,60 a 69,Mujer,0.1471318172152522,0.17783243882672575
2013,Buenos Aires,70 a 79,Varón,0.2247462616002867,0.21082326317913663
2013,Buenos Aires,70 a 79,Mujer,0.20422439686076932,0.1725211189716162
2013,Buenos Aires,80+,Varón,0.07031584048345257,0.37028595341770887
2013,Buenos Aires,80+,Mujer,0.11712449685756655,0.4405450556850655
2013,CABA,20 a 29,Varón,0.009513071321189403,1.002460918013498
2013,CABA,20 a 29,Mujer,0.006796010967022438,0.7898642971404947
2013,CABA,30 a 39,Varón,0.05514149227103604,0.45233961736455147
2013,CABA,30 a 39,Mujer,0.032561138708444785,0.7399236570411897
2013,CABA,40 a 49,Varón,0.03029044795828767,0.7319889771155716
2013,CABA,40 a 49,Mujer,0.011770325305445221,0.6882326654555779
2013,CABA,50 a 59,Varón,0.08989580457181055,0.4176108349515116
2013,CABA,50 a 59,Mujer,0.13774929915899078,0.3444602218557208
2013,CABA,60 a 69,Varón,0.2851132404181185,0.2913886603203257
2013,CABA,60 a 69,Mujer,0.18518883132544947,0.3757662928548206
2013,CABA,70 a 79,Varón,0.3192042091417297,0.2852579066349568
2013,CABA,70 a 79,Mujer,0.13466465387103732,0.4768802862759659
2013,CABA,80+,Varón,0,NA
2013,CABA,80+,Mujer,0.11202979682959938,0.4672704139880807
2013,Catamarca,20 a 29,Varón,0.005042958535674262,0.7853927838102209
2013,Catamarca,20 a 29,Mujer,0.07630021800062285,0.49869036312280696
2013,Catamarca,30 a 39,Varón,0.08436301661695782,0.4354065695555593
2013,Catamarca,30 a 39,Mujer,0.10883228580879921,0.3936888555063162
2013,Catamarca,40 a 49,Varón,0.22550958320657133,0.33268046825324216
2013,Catamarca,40 a 49,Mujer,0.23257037621678506,0.25958048368741043
2013,Catamarca,50 a 59,Varón,0.1918374230542204,0.41875574550018874
2013,Catamarca,50 a 59,Mujer,0.12893587680992874,0.4650263477696798
2013,Catamarca,60 a 69,Varón,0.14440176412007397,0.5507479799368035
2013,Catamarca,60 a 69,Mujer,0.20048274882862416,0.2970041205467287
2013,Catamarca,70 a 79,Varón,0.32636175591817973,0.3853401863376416
2013,Catamarca,70 a 79,Mujer,0.15632843313015418,0.48983815124807845
2013,Catamarca,80+,Varón,0.15437158469945356,0.9294893022002837
2013,Catamarca,80+,Mujer,0.16368715083798882,0.8892828652262673
2013,Chaco,20 a 29,Varón,0.019124348958333336,0.7304418732871572
2013,Chaco,20 a 29,Mujer,0.051610791347281706,0.4566629500838764
2013,Chaco,30 a 39,Varón,0.07925275450528901,0.4060027926939209
2013,Chaco,30 a 39,Mujer,0.1423976246443152,0.41874955265712227
2013,Chaco,40 a 49,Varón,0.0366066859969299,0.6258452565081072
2013,Chaco,40 a 49,Mujer,0.0772638152639605,0.4556537498669461
2013,Chaco,50 a 59,Varón,0.16561839589413305,0.337868734480641
2013,Chaco,50 a 59,Mujer,0.07281995266703076,0.4789727769504341
2013,Chaco,60 a 69,Varón,0.09078269403778523,0.43417050301142585
2013,Chaco,60 a 69,Mujer,0.18262258000133058,0.29323911845233586
2013,Chaco,70 a 79,Varón,0.36487227277710776,0.3353295260476122
2013,Chaco,70 a 79,Mujer,0.1821370475803172,0.4752772372203778
2013,Chaco,80+,Varón,0.06679931779420126,1.049248664138523
2013,Chaco,80+,Mujer,0.33124387855044074,0.5145348720331611
2013,Chubut,20 a 29,Varón,0.04088721920592852,0.6241146667718559
2013,Chubut,20 a 29,Mujer,0.06197701149425287,0.39080930985797774
2013,Chubut,30 a 39,Varón,0.09249933094907914,0.2884088784776665
2013,Chubut,30 a 39,Mujer,0.08067032494082203,0.30433212144017024
2013,Chubut,40 a 49,Varón,0.08709758823317351,0.33945030768164897
2013,Chubut,40 a 49,Mujer,0.05915943353129283,0.3293811571925843
2013,Chubut,50 a 59,Varón,0.09888161483906165,0.30529263850676125
2013,Chubut,50 a 59,Mujer,0.17774952320406867,0.2528874072946027
2013,Chubut,60 a 69,Varón,0.12009063444108761,0.36780168410025904
