anio_enfr,codprov_censo,prov_nombre,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,22,Chaco,NEA,40 a 49,Varón,7,2.3333333333333335,95386.37498,3914498.4263,41.03833935528808,95.75612516233886
2005,22,Chaco,NEA,50 a 59,Mujer,30,10,95441.65065,4007943.3663,41.99365097946365,419.93650979463655
2005,22,Chaco,NEA,50 a 59,Varón,56,18.666666666666668,92417.20236,3440462.4833,37.227511712571605,694.9135519680034
2005,22,Chaco,NEA,60 a 69,Mujer,78,26,91170.49198,3534888.1766999997,38.772283662519285,1008.0793752255014
2005,22,Chaco,NEA,60 a 69,Varón,72,24,85071.85545,2985441.5738,35.09317573959179,842.236217750203
2005,22,Chaco,NEA,70 a 79,Mujer,103,34.333333333333336,81312.23623,3089197.6009,37.991792430377735,1304.384873442969
2005,22,Chaco,NEA,70 a 79,Varón,92,30.666666666666668,68546.20957,2577191.6172,37.59787205400685,1153.0014096562102
2005,22,Chaco,NEA,80+,Mujer,79,26.333333333333332,97889.69055,2704000.1218,27.622930531370443,727.4038373260883
2005,22,Chaco,NEA,80+,Varón,42,14,96298.78607,2266735.9454,23.538572373615384,329.5400132306154
2005,26,Chubut,Patagonia Sur,30 a 39,Mujer,2,0.6666666666666666,98257.61885,4983143.736,50.71508748453657,33.81005832302438
2005,26,Chubut,Patagonia Sur,30 a 39,Varón,2,0.6666666666666666,96997.57994,4397739.3413,45.33865013972843,30.225766759818953
2005,26,Chubut,Patagonia Sur,40 a 49,Mujer,1,0.3333333333333333,97340.83661,4492775.462499999,46.15509398692027,15.385031328973422
2005,26,Chubut,Patagonia Sur,40 a 49,Varón,2,0.6666666666666666,95386.37498,3914498.4263,41.03833935528808,27.358892903525387
2005,26,Chubut,Patagonia Sur,50 a 59,Mujer,8,2.6666666666666665,95441.65065,4007943.3663,41.99365097946365,111.98306927856973
2005,26,Chubut,Patagonia Sur,50 a 59,Varón,17,5.666666666666667,92417.20236,3440462.4833,37.227511712571605,210.95589970457243
2005,26,Chubut,Patagonia Sur,60 a 69,Mujer,20,6.666666666666667,91170.49198,3534888.1766999997,38.772283662519285,258.4818910834619
2005,26,Chubut,Patagonia Sur,60 a 69,Varón,28,9.333333333333334,85071.85545,2985441.5738,35.09317573959179,327.5363069028568
2005,26,Chubut,Patagonia Sur,70 a 79,Mujer,21,7,81312.23623,3089197.6009,37.991792430377735,265.9425470126441
2005,26,Chubut,Patagonia Sur,70 a 79,Varón,35,11.666666666666666,68546.20957,2577191.6172,37.59787205400685,438.6418406300799
2005,26,Chubut,Patagonia Sur,80+,Mujer,27,9,97889.69055,2704000.1218,27.622930531370443,248.606374782334
2005,26,Chubut,Patagonia Sur,80+,Varón,15,5,96298.78607,2266735.9454,23.538572373615384,117.69286186807692
2005,30,Entre Ríos,Centro,30 a 39,Mujer,5,1.6666666666666667,98257.61885,4983143.736,50.71508748453657,84.52514580756095
2005,30,Entre Ríos,Centro,30 a 39,Varón,0,0,96997.57994,4397739.3413,45.33865013972843,0
2005,30,Entre Ríos,Centro,40 a 49,Mujer,8,2.6666666666666665,97340.83661,4492775.462499999,46.15509398692027,123.08025063178738
2005,30,Entre Ríos,Centro,40 a 49,Varón,11,3.6666666666666665,95386.37498,3914498.4263,41.03833935528808,150.47391096938964
2005,30,Entre Ríos,Centro,50 a 59,Mujer,39,13,95441.65065,4007943.3663,41.99365097946365,545.9174627330275
2005,30,Entre Ríos,Centro,50 a 59,Varón,53,17.666666666666668,92417.20236,3440462.4833,37.227511712571605,657.6860402554317
2005,30,Entre Ríos,Centro,60 a 69,Mujer,88,29.333333333333332,91170.49198,3534888.1766999997,38.772283662519285,1137.3203207672323
2005,30,Entre Ríos,Centro,60 a 69,Varón,129,43,85071.85545,2985441.5738,35.09317573959179,1509.006556802447
2005,30,Entre Ríos,Centro,70 a 79,Mujer,136,45.333333333333336,81312.23623,3089197.6009,37.991792430377735,1722.294590177124
2005,30,Entre Ríos,Centro,70 a 79,Varón,153,51,68546.20957,2577191.6172,37.59787205400685,1917.4914747543494
2005,30,Entre Ríos,Centro,80+,Mujer,163,54.333333333333336,97889.69055,2704000.1218,27.622930531370443,1500.8458922044608
2005,30,Entre Ríos,Centro,80+,Varón,86,28.666666666666668,96298.78607,2266735.9454,23.538572373615384,674.772408043641
2005,34,Formosa,NEA,30 a 39,Mujer,2,0.6666666666666666,98257.61885,4983143.736,50.71508748453657,33.81005832302438
2005,34,Formosa,NEA,30 a 39,Varón,1,0.3333333333333333,96997.57994,4397739.3413,45.33865013972843,15.112883379909476
