anio_enfr,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,AVP
2013,Centro,70 a 79,Varón,2054,136.93333333333334,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,5148.401946595338
2013,Centro,80+,Mujer,2622,174.8,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,4828.488256883554
2013,Centro,80+,Varón,1767,117.8,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,2772.843825611892
2013,Cuyo,30 a 39,Mujer,11,0.9166666666666666,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,46.48883019415852
2013,Cuyo,30 a 39,Varón,7,0.5833333333333334,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,26.447545914841584
2013,Cuyo,40 a 49,Mujer,25,2.0833333333333335,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,96.15644580608391
2013,Cuyo,40 a 49,Varón,43,3.5833333333333335,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,147.05404935644896
2013,Cuyo,50 a 59,Mujer,113,9.416666666666666,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,395.44021338994935
2013,Cuyo,50 a 59,Varón,188,15.666666666666666,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,583.2310168302885
2013,Cuyo,60 a 69,Mujer,357,29.75,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,1153.4754389599486
2013,Cuyo,60 a 69,Varón,454,37.833333333333336,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,1327.6918154812229
2013,Cuyo,70 a 79,Mujer,449,37.416666666666664,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1421.5262334366334
2013,Cuyo,70 a 79,Varón,509,42.416666666666664,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1594.7764062907904
2013,Cuyo,80+,Mujer,492,41,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,1132.540151786188
2013,Cuyo,80+,Varón,354,29.5,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,694.3878850216538
2013,NEA,30 a 39,Mujer,13,1.0833333333333333,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,54.94134477491461
2013,NEA,30 a 39,Varón,11,0.9166666666666666,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,41.56042929475106
2013,NEA,40 a 49,Mujer,60,5,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,230.77546993460135
2013,NEA,40 a 49,Varón,65,5.416666666666667,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,222.29100484114377
2013,NEA,50 a 59,Mujer,165,13.75,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,577.4127009676253
2013,NEA,50 a 59,Varón,210,17.5,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,651.4814549700031
2013,NEA,60 a 69,Mujer,344,28.666666666666668,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,1111.4721316588862
2013,NEA,60 a 69,Varón,418,34.833333333333336,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,1222.4122882624474
2013,NEA,70 a 79,Mujer,463,38.583333333333336,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1465.8499912720745
2013,NEA,70 a 79,Varón,436,36.333333333333336,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1366.056017962249
2013,NEA,80+,Mujer,404,33.666666666666664,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,929.9719945561382
2013,NEA,80+,Varón,268,22.333333333333332,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,525.6947830107435
2013,NOA1,30 a 39,Mujer,14,1.5555555555555556,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,78.89013608705689
2013,NOA1,30 a 39,Varón,13,1.4444444444444444,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,65.48916131294106
2013,NOA1,40 a 49,Mujer,31,3.4444444444444446,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,158.97865706605873
2013,NOA1,40 a 49,Varón,45,5,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,205.1916967764404
2013,NOA1,50 a 59,Mujer,113,12.555555555555555,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,527.2536178532658
2013,NOA1,50 a 59,Varón,178,19.77777777777778,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,736.2774538708607
2013,NOA1,60 a 69,Mujer,270,30,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,1163.1685098755786
2013,NOA1,60 a 69,Varón,295,32.77777777777778,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,1150.2763159088422
2013,NOA1,70 a 79,Mujer,315,35,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,1329.7127350632206
2013,NOA1,70 a 79,Varón,340,37.77777777777778,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,1420.364055373592
2013,NOA1,80+,Mujer,340,37.77777777777778,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,1043.5329311851056
2013,NOA1,80+,Varón,244,27.11111111111111,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,638.156851018017
2013,NOA2,30 a 39,Mujer,1,0.16666666666666666,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,8.452514580756095
2013,NOA2,30 a 39,Varón,2,0.3333333333333333,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,15.112883379909476
