anio_enfr,codprov_censo,region_deis,grupo_edad_10,sexo,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,dm2_prev_cv_cat
2005,58,Patagonia Norte,80+,Mujer,639,269.99,575.1,242.99,0.2,0.08,0.4,Muy alta
2005,58,Patagonia Norte,80+,Varón,0,0,0,0,0,0,NA,NA
2005,62,Patagonia Norte,30 a 39,Mujer,2690,835.51,2421,751.96,0.06,0.02,0.3,Alta
2005,62,Patagonia Norte,30 a 39,Varón,513,380.19,461.7,342.17,0.02,0.01,0.74,Muy alta
2005,62,Patagonia Norte,40 a 49,Mujer,3001,808.94,2700.9,728.04,0.12,0.03,0.25,Alta
2005,62,Patagonia Norte,40 a 49,Varón,1829,805.99,1646.1,725.39,0.06,0.03,0.42,Muy alta
2005,62,Patagonia Norte,50 a 59,Mujer,4634,976.18,4170.6,878.57,0.16,0.03,0.2,Moderada
2005,62,Patagonia Norte,50 a 59,Varón,1915,743.92,1723.5,669.53,0.07,0.03,0.38,Muy alta
2005,62,Patagonia Norte,60 a 69,Mujer,2605,914.81,2344.5,823.33,0.15,0.05,0.31,Muy alta
2005,62,Patagonia Norte,60 a 69,Varón,4207,1359.67,3786.3,1223.7,0.24,0.06,0.27,Alta
2005,62,Patagonia Norte,70 a 79,Mujer,3354,924.42,3018.6,831.98,0.29,0.06,0.22,Alta
2005,62,Patagonia Norte,70 a 79,Varón,1794,569.77,1614.6,512.79,0.21,0.06,0.29,Alta
2005,62,Patagonia Norte,80+,Mujer,629,323,566.1,290.7,0.13,0.06,0.49,Muy alta
2005,62,Patagonia Norte,80+,Varón,895,828.87,805.5,745.99,0.21,0.16,0.77,Muy alta
2005,66,NOA1,30 a 39,Mujer,2140,1074.41,1926,966.97,0.03,0.01,0.49,Muy alta
2005,66,NOA1,30 a 39,Varón,1014,476.48,912.6,428.83,0.02,0.01,0.47,Muy alta
2005,66,NOA1,40 a 49,Mujer,2093,778.97,1883.7,701.07,0.04,0.02,0.37,Muy alta
2005,66,NOA1,40 a 49,Varón,2024,841.04,1821.6,756.94,0.04,0.02,0.41,Muy alta
