anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2001,82,Santa Fe,Centro,Varón,60 a 69,108349,NA,1360347
2001,82,Santa Fe,Centro,Varón,70 a 79,69195,NA,769536
2001,82,Santa Fe,Centro,Varón,80+,22574,NA,329851
2001,86,Santiago del Estero,NOA2,Mujer,30 a 39,44794,NA,2948351
2001,86,Santiago del Estero,NOA2,Mujer,40 a 49,38945,NA,2333346
2001,86,Santiago del Estero,NOA2,Mujer,50 a 59,28923,NA,2043266
2001,86,Santiago del Estero,NOA2,Mujer,60 a 69,22285,NA,1572788
2001,86,Santiago del Estero,NOA2,Mujer,70 a 79,14872,NA,1067525
2001,86,Santiago del Estero,NOA2,Mujer,80+,6462,NA,671649
2001,86,Santiago del Estero,NOA2,Varón,30 a 39,46530,NA,2875168
2001,86,Santiago del Estero,NOA2,Varón,40 a 49,39827,NA,2226600
2001,86,Santiago del Estero,NOA2,Varón,50 a 59,30203,NA,1896227
2001,86,Santiago del Estero,NOA2,Varón,60 a 69,20578,NA,1360347
2001,86,Santiago del Estero,NOA2,Varón,70 a 79,11803,NA,769536
2001,86,Santiago del Estero,NOA2,Varón,80+,4320,NA,329851
2001,90,Tucumán,NOA1,Mujer,30 a 39,82104,NA,2948351
2001,90,Tucumán,NOA1,Mujer,40 a 49,77279,NA,2333346
2001,90,Tucumán,NOA1,Mujer,50 a 59,55017,NA,2043266
2001,90,Tucumán,NOA1,Mujer,60 a 69,40440,NA,1572788
2001,90,Tucumán,NOA1,Mujer,70 a 79,27642,NA,1067525
2001,90,Tucumán,NOA1,Mujer,80+,10333,NA,671649
2001,90,Tucumán,NOA1,Varón,30 a 39,80481,NA,2875168
2001,90,Tucumán,NOA1,Varón,40 a 49,73273,NA,2226600
2001,90,Tucumán,NOA1,Varón,50 a 59,53582,NA,1896227
2001,90,Tucumán,NOA1,Varón,60 a 69,34761,NA,1360347
2001,90,Tucumán,NOA1,Varón,70 a 79,20947,NA,769536
2001,90,Tucumán,NOA1,Varón,80+,6240,NA,329851
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,30 a 39,8536,NA,2948351
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,40 a 49,6634,NA,2333346
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,50 a 59,3014,NA,2043266
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,60 a 69,1575,NA,1572788
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,70 a 79,763,NA,1067525
2001,94,Tierra del Fuego,Patagonia Sur,Mujer,80+,185,NA,671649
2001,94,Tierra del Fuego,Patagonia Sur,Varón,30 a 39,8974,NA,2875168
2001,94,Tierra del Fuego,Patagonia Sur,Varón,40 a 49,7713,NA,2226600
2001,94,Tierra del Fuego,Patagonia Sur,Varón,50 a 59,3608,NA,1896227
2001,94,Tierra del Fuego,Patagonia Sur,Varón,60 a 69,1569,NA,1360347
2001,94,Tierra del Fuego,Patagonia Sur,Varón,70 a 79,620,NA,769536
2001,94,Tierra del Fuego,Patagonia Sur,Varón,80+,126,NA,329851
2005,02,CABA,Centro,Mujer,30 a 39,224243,NA,2948351
2005,02,CABA,Centro,Mujer,40 a 49,194853,NA,2333346
2005,02,CABA,Centro,Mujer,50 a 59,187843,NA,2043266
2005,02,CABA,Centro,Mujer,60 a 69,169062,NA,1572788
2005,02,CABA,Centro,Mujer,70 a 79,147823,NA,1067525
2005,02,CABA,Centro,Mujer,80+,100219,NA,671649
2005,02,CABA,Centro,Varón,30 a 39,213307,NA,2875168
2005,02,CABA,Centro,Varón,40 a 49,176243,NA,2226600
2005,02,CABA,Centro,Varón,50 a 59,153967,NA,1896227
2005,02,CABA,Centro,Varón,60 a 69,118792,NA,1360347
2005,02,CABA,Centro,Varón,70 a 79,86161,NA,769536
2005,02,CABA,Centro,Varón,80+,39349,NA,329851
2005,06,Buenos Aires,Centro,Mujer,30 a 39,1010635,NA,2948351
2005,06,Buenos Aires,Centro,Mujer,40 a 49,873313,NA,2333346
2005,06,Buenos Aires,Centro,Mujer,50 a 59,771036,NA,2043266
