anio_enfr,prov_id,prov_nombre,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2018,58,Neuquén,Mujeres,356776.72997042356,130150.13585784094,226626.5941125826,10636925,3354.13,1223.57,2130.56
2005,62,Río Negro,Mujeres,213222.60600237496,56170.61934884615,157051.98665352882,10636925,2004.55,528.07,1476.48
2009,62,Río Negro,Mujeres,195546.25970990103,59753.181320933916,135793.07838896711,10636925,1838.37,561.75,1276.62
2013,62,Río Negro,Mujeres,173851.18339101304,42289.51143227457,131561.67195873847,10636925,1634.41,397.57,1236.84
2018,62,Río Negro,Mujeres,209819.210379758,47619.11049196896,162200.09988778905,10636925,1972.56,447.68,1524.88
2005,66,Salta,Mujeres,129550.58676992316,53560.77337907908,75989.81339084408,10636925,1217.93,503.54,714.4
2009,66,Salta,Mujeres,225492.1360624192,101204.05032211877,124288.08574030042,10636925,2119.9,951.44,1168.46
2013,66,Salta,Mujeres,259666.45161540667,85612.30835780229,174054.1432576044,10636925,2441.18,804.86,1636.32
2018,66,Salta,Mujeres,266464.42926268384,95980.03066235181,170484.398600332,10636925,2505.09,902.33,1602.76
2005,70,San Juan,Mujeres,321900.7426673918,183092.92875758343,138807.81390980832,10636925,3026.26,1721.3,1304.96
2009,70,San Juan,Mujeres,358901.25929761137,172513.0724354174,186388.18686219398,10636925,3374.11,1621.83,1752.28
2013,70,San Juan,Mujeres,294926.6219204384,118642.34193289606,176284.27998754237,10636925,2772.67,1115.38,1657.29
2018,70,San Juan,Mujeres,337404.7563324388,117742.62083625887,219662.13549617992,10636925,3172.01,1106.92,2065.09
2005,74,San Luis,Mujeres,248905.28318237554,113864.76188062824,135040.52130174727,10636925,2340.01,1070.47,1269.54
2009,74,San Luis,Mujeres,275824.8881810517,111173.71564625234,164651.17253479938,10636925,2593.09,1045.17,1547.92
2013,74,San Luis,Mujeres,235080.0718983413,88155.05967591293,146925.01222242837,10636925,2210.04,828.76,1381.27
2018,74,San Luis,Mujeres,252784.67376776488,57723.02571924083,195061.64804852405,10636925,2376.48,542.67,1833.82
2005,78,Santa Cruz,Mujeres,242640.32654135756,105891.99817386582,136748.32836749175,10636925,2281.11,995.51,1285.6
2009,78,Santa Cruz,Mujeres,262328.7454365745,78210.94183026766,184117.80360630684,10636925,2466.21,735.28,1730.93
2013,78,Santa Cruz,Mujeres,299028.6193782757,101517.52294098416,197511.09643729153,10636925,2811.23,954.39,1856.84
2018,78,Santa Cruz,Mujeres,332645.1888253017,131360.39959582084,201284.78922948087,10636925,3127.27,1234.95,1892.32
2005,82,Santa Fe,Mujeres,186697.708739835,101064.08564154366,85633.62309829135,10636925,1755.18,950.13,805.06
2009,82,Santa Fe,Mujeres,166393.73289447528,69791.93598557687,96601.79690889841,10636925,1564.3,656.13,908.17
2013,82,Santa Fe,Mujeres,205631.57596872756,55315.07864033343,150316.49732839412,10636925,1933.19,520.03,1413.16
2018,82,Santa Fe,Mujeres,193501.07569783062,42691.711268847466,150809.36442898316,10636925,1819.14,401.35,1417.79
2005,86,Santiago del Estero,Mujeres,195797.5735416323,110097.10451943734,85700.46902219494,10636925,1840.73,1035.05,805.69
2009,86,Santiago del Estero,Mujeres,227860.31939515876,68198.90116739404,159661.41822776475,10636925,2142.16,641.15,1501.01
2013,86,Santiago del Estero,Mujeres,206691.6344402278,52476.25895188251,154215.37548834525,10636925,1943.15,493.34,1449.81
2018,86,Santiago del Estero,Mujeres,204628.26781983973,67883.4353571742,136744.83246266554,10636925,1923.75,638.19,1285.57
2005,90,Tucumán,Mujeres,247349.96233480508,122808.99987599935,124540.96245880573,10636925,2325.39,1154.55,1170.84
2009,90,Tucumán,Mujeres,241768.48286272268,103727.01157665977,138041.4712860629,10636925,2272.92,975.16,1297.76
2013,90,Tucumán,Mujeres,238815.15985848304,108968.52367174183,129846.63618674119,10636925,2245.15,1024.44,1220.72
2018,90,Tucumán,Mujeres,227147.61143106525,73544.16434094256,153603.44709012267,10636925,2135.46,691.4,1444.06
