prov_id,grupo_edad,sexo,anio,value
38,50-54,Mujer,2005,14726
38,55-59,Varón,2001,9918
38,55-59,Mujer,2001,10497
38,55-59,Varón,2005,11175
38,55-59,Mujer,2005,11940
38,60-64,Varón,2001,8443
38,60-64,Mujer,2001,8799
38,60-64,Varón,2005,8994
38,60-64,Mujer,2005,9725
38,65-69,Varón,2001,6543
38,65-69,Mujer,2001,7222
38,65-69,Varón,2005,7351
38,65-69,Mujer,2005,8021
38,70-74,Varón,2001,4910
38,70-74,Mujer,2001,5490
38,70-74,Varón,2005,5345
38,70-74,Mujer,2005,6342
38,75-79,Varón,2001,3083
38,75-79,Mujer,2001,3733
38,75-79,Varón,2005,3707
38,75-79,Mujer,2005,4527
38,80 y más,Varón,2001,2180
38,80 y más,Mujer,2001,3398
38,80 y más,Varón,2005,2679
38,80 y más,Mujer,2005,4110
42,20-24,Varón,2001,12657
42,20-24,Mujer,2001,11868
42,20-24,Varón,2005,13229
42,20-24,Mujer,2005,12695
42,25-29,Varón,2001,11381
42,25-29,Mujer,2001,10912
42,25-29,Varón,2005,12489
42,25-29,Mujer,2005,11627
42,30-34,Varón,2001,10073
42,30-34,Mujer,2001,9898
42,30-34,Varón,2005,11281
42,30-34,Mujer,2005,10905
42,35-39,Varón,2001,10161
42,35-39,Mujer,2001,9931
42,35-39,Varón,2005,10270
42,35-39,Mujer,2005,10128
42,40-44,Varón,2001,9217
42,40-44,Mujer,2001,8986
42,40-44,Varón,2005,10196
42,40-44,Mujer,2005,9942
42,45-49,Varón,2001,8989
42,45-49,Mujer,2001,8604
42,45-49,Varón,2005,9206
42,45-49,Mujer,2005,8966
42,50-54,Varón,2001,7838
42,50-54,Mujer,2001,7705
42,50-54,Varón,2005,8806
42,50-54,Mujer,2005,8510
42,55-59,Varón,2001,7220
42,55-59,Mujer,2001,6846
42,55-59,Varón,2005,7486
42,55-59,Mujer,2005,7505
42,60-64,Varón,2001,5913
42,60-64,Mujer,2001,5964
42,60-64,Varón,2005,6650
42,60-64,Mujer,2005,6615
42,65-69,Varón,2001,4894
42,65-69,Mujer,2001,5151
42,65-69,Varón,2005,5218
42,65-69,Mujer,2005,5677
42,70-74,Varón,2001,3685
42,70-74,Mujer,2001,4371
42,70-74,Varón,2005,4047
42,70-74,Mujer,2005,4774
42,75-79,Varón,2001,2459
42,75-79,Mujer,2001,3562
42,75-79,Varón,2005,2731
42,75-79,Mujer,2005,3880
42,80 y más,Varón,2001,2157
42,80 y más,Mujer,2001,3759
42,80 y más,Varón,2005,2310
42,80 y más,Mujer,2005,4440
46,20-24,Varón,2001,14694
46,20-24,Mujer,2001,14379
46,20-24,Varón,2005,14468
46,20-24,Mujer,2005,13977
46,25-29,Varón,2001,11815
46,25-29,Mujer,2001,11545
46,25-29,Varón,2005,14945
46,25-29,Mujer,2005,14598
46,30-34,Varón,2001,9937
46,30-34,Mujer,2001,9577
46,30-34,Varón,2005,11717
46,30-34,Mujer,2005,11380
46,35-39,Varón,2001,9270
46,35-39,Mujer,2001,9028
46,35-39,Varón,2005,10100
46,35-39,Mujer,2005,9718
46,40-44,Varón,2001,8244
46,40-44,Mujer,2001,8122
46,40-44,Varón,2005,9376
46,40-44,Mujer,2005,9128
46,45-49,Varón,2001,7529
46,45-49,Mujer,2001,7214
46,45-49,Varón,2005,8208
46,45-49,Mujer,2005,8051
46,50-54,Varón,2001,6246
46,50-54,Mujer,2001,6001
46,50-54,Varón,2005,7374
46,50-54,Mujer,2005,7081
46,55-59,Varón,2001,4885
46,55-59,Mujer,2001,4775
