"DimensionCode","DimensionMemberCode","DisplayString","DisplaySequence","URL"
"AGEGROUP","YEARS65-74","65-74 years","2535",""
"AGEGROUP","YEARS55-64","55-64 years","3545",""
"AGEGROUP","YEARS45-54","45-54 years","4555",""
"AGEGROUP","YEARS35-44","35-44 years of age","5565",""
"AGEGROUP","YEARS25-34","25-34 years of age","6575",""
"AGEGROUP","YEARS05-17","5-17 years","8295",""
"AGEGROUP","YEARS00-04","0-4 years","9600",""
"AGEGROUP","MONTHS0-5","0 to 5 months","10",""
"AGEGROUP","MONTHS0-11","0 to 11 months","20",""
"AGEGROUP","MONTHS0-23","0 to 23 months","30",""
"AGEGROUP","MONTHS6-8","6 to 8 months","40",""
"AGEGROUP","MONTHS6-11","6 to 11 months","50",""
"AGEGROUP","MONTHS6-23","6 to 23 months","60",""
"AGEGROUP","MONTHS6-59","6 to 59 months","70",""
"AGEGROUP","MONTHS9-11","9 to 11 months","80",""
"AGEGROUP","MONTHS12-17","12 to 17 months","90",""
"AGEGROUP","MONTHS12-23","12 to 23 months","100",""
"AGEGROUP","MONTHS12-59","12 to 59 months","110",""
"AGEGROUP","MONTHS18-23","18 to 23 months","120",""
"AGEGROUP","MONTHS24-29","24 to 29 months","130",""
"AGEGROUP","MONTHS24-35","24 to 35 months","140",""
"AGEGROUP","MONTHS24-59","24 to 59 months","150",""
"AGEGROUP","MONTHS30-35","30 to 35 months","160",""
"AGEGROUP","MONTHS36-41","36 to 41 months","170",""
"AGEGROUP","MONTHS36-47","36 to 47 months","180",""
"AGEGROUP","MONTHS36-59","36 to 59 months","190",""
"AGEGROUP","MONTHS42-47","42 to 47 months","200",""
"AGEGROUP","MONTHS48-53","48 to 53 months","210",""
"AGEGROUP","MONTHS48-59","48 to 59 months","220",""
"AGEGROUP","MONTHS54-59","54 to 59 months","230",""
"AGEGROUP","AGELT60","Below 60 years old","200",""
"AGEGROUP","MONTHS0-1","0 to 1 month","5",""
"AGEGROUP","MONTHS2-3","2 to 3 months","35",""
"AGEGROUP","MONTHS4-5","4 to 5 months","35",""
"AGEGROUP","MONTHS12-15","12 to 15 months","85",""
"AGEGROUP","MONTHS16-19","16 to 19 months","115",""
"AGEGROUP","MONTHS20-23","20 to 23 months","125",""
