anio,sexo,grupo_edad_10,comp_tipo,comp_qualidiab,comp_frec,dw
2009,Varón,60 a 69,macrovascular,Claudicación miembros inferiores,0.0261780104712042,0.0141852508
2009,Varón,60 a 69,microvascular,Disfunción eréctil,0.104712041884817,0.133189991499999
2009,Varón,60 a 69,macrovascular,IAM,0.0366492146596859,0.25318521505
2009,Varón,60 a 69,microvascular,Nefropatía,0.0628272251308901,0.242893275079427
2009,Varón,60 a 69,microvascular,Neuropatía periférica,0.115183246073298,0.133189991499999
2009,Varón,60 a 69,microvascular,Retinopatía no proliferativa,0.0157068062827225,0.1074453071
2009,Varón,60 a 69,microvascular,Retinopatía proliferativa,0.0157068062827225,0.1840484878
2009,Varón,70 a 79,macrovascular,ACV,0.107142857142857,0.403952630975241
2009,Varón,70 a 79,,Sin complicaciones,0.285714285714286,0.0490114147
2009,Varón,70 a 79,microvascular,Amputación,0.0357142857142857,0.224603255005897
2009,Varón,70 a 79,microvascular,Ceguera,0.0357142857142857,0.1873645834
2009,Varón,70 a 79,macrovascular,Claudicación miembros inferiores,0.178571428571429,0.0141852508
2009,Varón,70 a 79,microvascular,Disfunción eréctil,0.321428571428571,0.133189991499999
2009,Varón,70 a 79,macrovascular,IAM,0.107142857142857,0.25318521505
2009,Varón,70 a 79,microvascular,Nefropatía,0.142857142857143,0.242893275079427
2009,Varón,70 a 79,microvascular,Neuropatía periférica,0.428571428571429,0.133189991499999
2009,Varón,70 a 79,microvascular,Retinopatía no proliferativa,0.0714285714285714,0.1074453071
2009,Varón,70 a 79,microvascular,Retinopatía proliferativa,0.0714285714285714,0.1840484878
2009,Varón,80+,macrovascular,ACV,0.333333333333333,0.403952630975241
2009,Varón,80+,microvascular,Nefropatía,0.333333333333333,0.242893275079427
2009,Varón,80+,microvascular,Neuropatía periférica,1,0.133189991499999
2013,Mujer,0 a 9,,Sin complicaciones,1,0.0490114147
2013,Mujer,20 a 29,,Sin complicaciones,1,0.0490114147
2013,Mujer,30 a 39,,Sin complicaciones,0.833333333333333,0.0490114147
2013,Mujer,30 a 39,microvascular,Neuropatía periférica,0.166666666666667,0.133189991499999
2013,Mujer,40 a 49,macrovascular,ACV,0.0227272727272727,0.403952630975241
2013,Mujer,40 a 49,,Sin complicaciones,0.795454545454545,0.0490114147
2013,Mujer,40 a 49,macrovascular,Claudicación miembros inferiores,0.0454545454545455,0.0141852508
2013,Mujer,40 a 49,microvascular,Nefropatía,0.0681818181818182,0.242893275079427
2013,Mujer,40 a 49,microvascular,Neuropatía periférica,0.113636363636364,0.133189991499999
2013,Mujer,40 a 49,microvascular,Retinopatía no proliferativa,0.0681818181818182,0.1074453071
2013,Mujer,50 a 59,macrovascular,ACV,0.0186915887850467,0.403952630975241
2013,Mujer,50 a 59,,Sin complicaciones,0.635514018691589,0.0490114147
2013,Mujer,50 a 59,microvascular,Ceguera,0.00934579439252336,0.1873645834
2013,Mujer,50 a 59,macrovascular,Claudicación miembros inferiores,0.0467289719626168,0.0141852508
2013,Mujer,50 a 59,macrovascular,IAM,0.0373831775700935,0.25318521505
2013,Mujer,50 a 59,macrovascular,IC,0.0373831775700935,0.0852958594249999
2013,Mujer,50 a 59,microvascular,Nefropatía,0.158878504672897,0.242893275079427
2013,Mujer,50 a 59,microvascular,Neuropatía periférica,0.214953271028037,0.133189991499999
2013,Mujer,50 a 59,microvascular,Retinopatía no proliferativa,0.149532710280374,0.1074453071
2013,Mujer,50 a 59,microvascular,Retinopatía proliferativa,0.0560747663551402,0.1840484878
2013,Mujer,60 a 69,macrovascular,ACV,0.0222222222222222,0.403952630975241
2013,Mujer,60 a 69,,Sin complicaciones,0.62962962962963,0.0490114147
2013,Mujer,60 a 69,microvascular,Amputación,0.00740740740740741,0.224603255005897
2013,Mujer,60 a 69,microvascular,Ceguera,0.00740740740740741,0.1873645834
2013,Mujer,60 a 69,macrovascular,Claudicación miembros inferiores,0.103703703703704,0.0141852508
2013,Mujer,60 a 69,macrovascular,IAM,0.0666666666666667,0.25318521505
2013,Mujer,60 a 69,macrovascular,IC,0.0592592592592593,0.0852958594249999
2013,Mujer,60 a 69,microvascular,Nefropatía,0.162962962962963,0.242893275079427
2013,Mujer,60 a 69,microvascular,Neuropatía periférica,0.237037037037037,0.133189991499999
2013,Mujer,60 a 69,microvascular,Retinopatía no proliferativa,0.162962962962963,0.1074453071
2013,Mujer,60 a 69,microvascular,Retinopatía proliferativa,0.037037037037037,0.1840484878
2013,Mujer,70 a 79,macrovascular,ACV,0.0147058823529412,0.403952630975241
2013,Mujer,70 a 79,,Sin complicaciones,0.632352941176471,0.0490114147
2013,Mujer,70 a 79,microvascular,Amputación,0.0294117647058824,0.224603255005897
2013,Mujer,70 a 79,macrovascular,Claudicación miembros inferiores,0.102941176470588,0.0141852508
2013,Mujer,70 a 79,macrovascular,IAM,0.0735294117647059,0.25318521505
2013,Mujer,70 a 79,macrovascular,IC,0.0441176470588235,0.0852958594249999
2013,Mujer,70 a 79,microvascular,Nefropatía,0.0735294117647059,0.242893275079427
2013,Mujer,70 a 79,microvascular,Neuropatía periférica,0.117647058823529,0.133189991499999
2013,Mujer,70 a 79,microvascular,Retinopatía no proliferativa,0.147058823529412,0.1074453071
2013,Mujer,70 a 79,microvascular,Retinopatía proliferativa,0.0441176470588235,0.1840484878
2013,Mujer,80+,,Sin complicaciones,0.363636363636364,0.0490114147
